,font_size_5,uppercase,font_size_4,starts_with_number,line_id,left_indent_6,left_indent_3,font_name,includes_time,first_char,font_size,left_indent_1,agency,font_freq_2,font_freq_3,font_freq_0,font_freq_1,font_size_3,font_size_2,font_size_1,font_size_0,left_indent_4,font_size_6,meeting_date,text,left_indent_0,left_indent_2,left_inset,left_indent_5,line_class
0,0,0,0,0,sunnyvale_4-19-16_0,0,0,"AAAAAA+Arial,Bold",1,T,12.197,0,sunnyvale,1,0,0,0,0,0,0,0,0,1,4-19-16,"Tuesday, April 19, 2016 6:15 PM West Conference Room and Council ",1,0,54.75,0,other_text
1,0,0,0,0,sunnyvale_4-19-16_1,0,0,"AAAAAA+Arial,Bold",0,C,12.197,0,sunnyvale,1,0,0,0,0,0,0,0,0,1,4-19-16,"Chambers, City Hall, 456 W. Olive Ave., ",0,0,391.8,1,section_heading
2,0,0,0,0,sunnyvale_4-19-16_2,1,0,"AAAAAA+Arial,Bold",0,S,12.197,0,sunnyvale,1,0,0,0,0,0,0,0,0,1,4-19-16,"Sunnyvale, CA 94086",0,0,466.3,0,other_text
3,1,0,0,0,sunnyvale_4-19-16_3,0,1,"AAAAAA+Arial,Bold",1,S,14.637,0,sunnyvale,1,0,0,0,0,0,0,0,0,0,4-19-16,Special Meeting-Closed Session-6:15 PM | Regular Meeting-7 PM,0,0,143.2,0,other_text
4,0,0,1,0,sunnyvale_4-19-16_4,0,0,"AAAAAA+Arial,Bold",1,6,15.892,0,sunnyvale,1,0,0,0,0,0,0,0,0,0,4-19-16,6:15 P.M. SPECIAL COUNCIL MEETING (Closed Session),1,0,54.75,0,meeting_heading
5,0,0,1,1,sunnyvale_4-19-16_5,0,0,"AAAAAA+Arial,Bold",0,1,15.892,0,sunnyvale,1,0,0,0,0,0,0,0,0,0,4-19-16,1  Call to Order in the West Conference Room,1,0,54.75,0,section_heading
6,0,0,1,1,sunnyvale_4-19-16_6,0,0,"AAAAAA+Arial,Bold",0,2,15.892,0,sunnyvale,1,0,0,0,0,0,0,0,0,0,4-19-16,2  Roll Call,1,0,54.75,0,section_heading
7,0,0,1,1,sunnyvale_4-19-16_7,0,0,"AAAAAA+Arial,Bold",0,3,15.892,0,sunnyvale,1,0,0,0,0,0,0,0,0,0,4-19-16,3  Public Comment,1,0,54.75,0,section_heading
8,0,0,0,0,sunnyvale_4-19-16_8,0,0,"AAAAAB+Arial,Italic",0,T,16.074,0,sunnyvale,0,0,0,1,1,0,0,0,0,0,4-19-16,The public may provide comments regarding the Closed Session item(s) just prior ,1,0,54.75,0,other_text
9,0,0,0,0,sunnyvale_4-19-16_9,0,0,"AAAAAB+Arial,Italic",0,t,16.074,0,sunnyvale,0,0,0,1,1,0,0,0,0,0,4-19-16,to the Council beginning the Closed Session. Closed Sessions are not open to the ,1,0,54.75,0,other_text
