uppercase,text,first_char,font_size_3,font_size_2,font_size_1,font_size_0,font_size_6,font_size_5,font_size_4,left_inset,item_text,item_heading,other_text,includes_time,meeting_heading,font_name,starts_with_number,font_size,font_freq_2,font_freq_3,font_freq_0,font_freq_1,left_indent_0,left_indent_1,left_indent_2,left_indent_3,left_indent_4,left_indent_5,left_indent_6,section_heading
0,"Tuesday, April 12, 2016 6:00 PM Council Chambers, City Hall, 456 W. Olive ",T,0,0,0,0,1,0,0,54.750,0,0,1,1,0,"KWXPPX+Arial,Bold",0,12.197,1,0,0,0,1,0,0,0,0,0,0,0
0,"Ave., Sunnyvale, CA 94086",A,0,0,0,0,1,0,0,442.950,0,0,1,0,0,"KWXPPX+Arial,Bold",0,12.197,1,0,0,0,0,0,0,0,0,0,1,0
0,Special Meeting: Joint Meeting of Council and the Redevelopment Successor Agency ,S,0,0,0,0,0,1,0,91.650,0,0,1,0,0,"KWXPPX+Arial,Bold",0,14.637,1,0,0,0,0,0,0,1,0,0,0,0
0,Immediately Followed by Special City Council Meeting,I,0,0,0,0,0,1,0,169.250,0,0,1,0,0,"KWXPPX+Arial,Bold",0,14.637,1,0,0,0,0,0,0,0,1,0,0,0
1,6 P.M. SPECIAL MEETING,6,0,0,0,0,0,0,1,54.750,0,0,0,1,1,"KWXPPX+Arial,Bold",1,15.892,1,0,0,0,1,0,0,0,0,0,0,0
0,Joint Meeting of the City Council and the Redevelopment Successor Agency,J,0,0,0,0,0,0,1,54.750,0,0,0,0,1,"KWXPPX+Arial,Bold",0,15.892,1,0,0,0,1,0,0,0,0,0,0,0
0,1  Call to Order in the Council Chambers (Open to the Public),1,0,0,0,0,0,0,1,54.750,0,0,0,0,0,"KWXPPX+Arial,Bold",1,15.892,1,0,0,0,1,0,0,0,0,0,0,1
0,2  Roll Call,2,0,0,0,0,0,0,1,54.750,0,0,0,0,0,"KWXPPX+Arial,Bold",1,15.892,1,0,0,0,1,0,0,0,0,0,0,1
0,3  Public Comment,3,0,0,0,0,0,0,1,54.750,0,0,0,0,0,"KWXPPX+Arial,Bold",1,15.892,1,0,0,0,1,0,0,0,0,0,0,1
0,"4  Closed Session Reports for a) April 30, 2013 (revised report out) and b) ",4,0,0,0,0,0,0,1,54.750,0,0,0,0,0,"KWXPPX+Arial,Bold",1,15.892,1,0,0,0,1,0,0,0,0,0,0,1
